mailbox,ticket_summary,interaction_content,innso_typology_ticket_,type_1,type_2,type_3,type_4
support.eu@aspiegel.com,vip september special ch,fine ask new september month ‫בתאריך יום ה׳ 1 בספט׳ phone ב-17:10 מאת < ‪xxxxx@xxxx.com‬‏>:‬ dear customer hope bring answer concern check vip campaign page issue fix case advise click appgallery > campaign > vip september special ch able find information term condition end term condition specify 5 enter 5.1 user make purchase debit credit card direct carrier billing paypal game download appgallery/ game center opt participate campaign 5.2 offer available huawei android device user unique huawei d register campaign territory state section 3 participant reside participant huawei d service region ip address shall correspond country residence end campaign term condition find list game question feel free reply email thread happy walk doubt sincerely stela aspiegel customer support team aspiegel se company incorporate law ireland headquarters dublin ireland aspiegel se provider huawei mobile service huawei honor device owner loc canada australia new zealand country xxxxx@xxxx.com send thursday 01 september phone 10:09 xxxxx@xxxx.com subject vip september special ch vip see right spend phone chf month spend phone chf want ask vip exclusive monthly offer phone,"appgallery &amp; games /  information request (e.g. prize delivery timeframe, how to join campaign)",appgallery &amp; games ,problem/fault,vip / offers / promotions,offers / vouchers / promotions
support.eu@aspiegel.com,reply,dear user thank cooperation build well game experience build discord channel update late game campaign discount activity provide direct service recommend use discord channel directly contact dedicated game operation staff discord channel discord link serve country switzerland https://discord.gg/dacxqnc4q hope information useful solve problem question hesitate reply e mail happy help resolve doubt sincerely madalin aspiegel customer support team aspiegel se company incorporate law ireland headquarters dublin ireland aspiegel se provider huawei mobile service huawei honor device owner loc canada australia new zealand country,"appgallery &amp; games /  information request (e.g. prize delivery timeframe, how to join campaign)",appgallery &amp; games ,others,,
support.pt@aspiegel.com,g[appgallery]problems suggestions[ap[appgallery]problems suggestionsspgallery]problem suggestion,description certificate find kontaktinformation axxxxx@xxxx.com,appgallery &amp; games / suggestions &amp; feedback,appgallery &amp; games ,problem/fault,general,security issue / malware
support.pt@aspiegel.com,appgallery]problem suggestions[appgallery]problem suggestion,dear customer thank contact person hope order good solution clarify request follow information 1 description issue 2 screenshot record video error 3 issue happen 4 huawei d app gallery > hms core > open screenshot 5 phone model 6 sn number device 7 app gallery version huawei app gallery > > 8 hms core version huawei app gallery > hms core > open > setting > 9 relate app 10 relate app version 11 log app gallery question feel free reply email thread happy walk doubt sincerely person customer support team person se é uma empresa constituída segundo leis da irlanda com sede em dublin irlanda person se é o provedor de huawei mobile services para huawei e honor proprietário de dispositivos na europa canadá austrália nova zelândia e outros paíse xxxxx@xxxx.com send thursday 01 september phone 08:50 xxxxx@xxxx.com subject appgallery]problem och förslag beskrivning inga certifikat hittades kontaktinformation axxxxx@xxxx.com,appgallery &amp; games / suggestions &amp; feedback,appgallery &amp; games ,others,,
support.eu@aspiegel.com,cashback problem,hello send message receive cashback available offer support photo bot unable help send problem recur arrive august 28 huawei d phone thank matteo convert,appgallery &amp; games / unable to claim the prize/points/coupons,appgallery &amp; games ,problem/fault,coupon/gifts/points issues,can't use or acquire
support.eu@aspiegel.com,cashback problem,dear matteo thank contact aspiegel hope loc email request cashback game purchase improve gaming experience create discord channel update late game campaign discount activity provide direct service recommend contact discord channel https://discord.gg/3btjjqhcpe computer directly colleague qualified happy help question hesitate reply email happy help resolve doubt sincerely stela aspiegel customer support team aspiegel se company incorporate law loc headquarters dublin loc aspiegel se provider huawei mobile service huawei honor device owner europe loc loc new zealand country xxxxx@xxxx.com send thursday september 01 phone 09:35 xxxxx@xxxx.com subject cashback problem hello send message receive cashback offer available support photo bot unable help send problem recur arrive august 28 huawei d phone thank matteo convert,appgallery &amp; games / unable to claim the prize/points/coupons,appgallery &amp; games ,problem/fault,coupon/gifts/points issues,can't use or acquire
support.pt@aspiegel.com,appgallery]problem suggestion,description versionproblem contact information xxxxx@xxxx.com,appgallery &amp; games / other requests,appgallery &amp; games ,others,,
support.pt@aspiegel.com,appgallery]problem suggestion,dear customer thank contact person hope order good solution clarify request follow information description issue screenshot record video error issue happen huawei d app gallery > hms core > open screenshot phone model sn number device app gallery version huawei app gallery > > hms core version huawei app gallery > hms core > open > setting > related app relate app version log app gallery question feel free reply email thread happy walk doubt sincerely alexandra person customer support team person se é uma empresa constituída segundo leis da irlanda com sede em dublin irlanda person se é o provedor de huawei mobile services para huawei e honor proprietário de dispositivos na europa canadá austrália nova zelândia e outros paíse xxxxx@xxxx.com send thursday 01 september phone 08:58 xxxxx@xxxx.com subject appgallery]problémák és javaslatok leírás versionproblem névjegy információk xxxxx@xxxx.com,appgallery &amp; games / other requests,appgallery &amp; games ,others,,
support.eu@aspiegel.com,aspiegel support issue submit,product appgallery game request refund request app purchase receive contact valencia phone number + phone contact email address xxxxx@xxxx.com huawei d account xxxxx@xxxx.com summary issue compra realizada y descontada pero llegó nada al juego home | news | event | product | partner | support copyright aspiegel se,appgallery &amp; games /  refund request: unwanted subscription/ item/ app,appgallery &amp; games ,problem/fault,third party apps,refund
support.eu@aspiegel.com,aspiegel support issue submit,dear thank contact aspiegel hope go email relation concern app purchase receive happy assist problem good help want receive purchase item refund want receive item good solution contact game customer service developer one send item directly want receive refund contact developer application question accept refund writing verify system huawei id account register access account information need contact customer service region link https://consumer.huawei.com/en/support/contact-us/ check customer service country sincerely customer support team aspiegel se company incorporate law loc headquarters loc loc aspiegel se provider huawei mobile service huawei honor device owner europe canada loc new zealand country xxxxx@xxxx.com send thursday 01 september phone 07:39 xxxxx@xxxx.com subject aspiegel support issue submit product appgallery game request refund request app purchase receive contact nicolas espinosa valencia phone number + phone contact email address xxxxx@xxxx.com huawei d account xxxx@xxxx.com summary issue purchase discount arrive game home | news | event | product | partner | support copyright aspiegel se,appgallery &amp; games /  refund request: unwanted subscription/ item/ app,appgallery &amp; games ,problem/fault,third party apps,refund
support.pt@aspiegel.com,appgallery]problem suggestion,description instal contact information txxxxx@xxxx.com send huawei phone,appgallery &amp; games / other requests,appgallery &amp; games ,suggestion,general,others
support.pt@aspiegel.com,appgallery]problem suggestion,dear customer thank contact person hope email regard concern appgallery issue order able investigate provide following 1 description issue 2 screenshot record video error 3 issue happen 4 huawei d app gallery > hms core > open screenshot 5 phone model 6 sn number device 7 app gallery version huawei app gallery > > 8 hms core version huawei app gallery > hms core > open > setting > 9 relate app 10 relate app version 11 log app gallery thank cooperation question feel free reply email thread happy walk doubt sincerely stela person customer support team person se é uma empresa constituída segundo leis da irlanda com sede em dublin irlanda person se é o provedor de huawei mobile services para huawei e honor proprietário de dispositivos na europa canadá austrália nova zelândia e outros paíse xxxxx@xxxx.com send thursday 01 september phone 06:02 xxxxx@xxxx.com subject appgallery]problem suggestion description instal contact information txxxxx@xxxx.com send huawei phone,appgallery &amp; games / other requests,appgallery &amp; games ,others,,
support.pt@aspiegel.com,appgallery]problem suggestion,dear customer thank contact aspiegel hope order provide good solution request follow information 1 description problem 2 screenshot video recording error 3 time problem occur 4 huawei d appgallery > hms core > open screenshot 5 phone model 6 sn number device 7 appgallery version huawei appgallery > > 8 hms core version huawei appgallery > hms core > open > setting > 9 associate application 10 version associate application 11 appgallery registry question feel free reply email happy help clear doubt respect claudiu aspiegel customer support team aspiegel se é uma empresa constituída segundo leis da irlanda com sede em dublin irlanda aspiegel provider huawei mobile services huawei honor owner device europe canada australia new zealand country xxxxx@xxxx.com send thursday 01 september phone 00:22 xxxxx@xxxx.com subject appgallery]problem suggestion description message work address book information contact phone send phone,appgallery &amp; games / suggestions &amp; feedback,appgallery &amp; games ,suggestion,general,others
support.eu@aspiegel.com,problem suggestion,dear customer thank choose person hope glad assist inquiry good help problem perform following troubleshoot clear cache datum google play store google play services:（note action clear google account datum recommend datum open setting search app > system process touch google play store storage > clear datum repeat step google play service check phone good network connection recommend download app good network environment check digital balance student mode enable yes open setting search digital balance student mode disable try restart device hesitate contact assistance kind regard marian person customer support team person se company incorporate law ireland headquarters dublin ireland person se provider huawei mobile service huawei honor device owner loc canada australia new zealand country xxxxx@xxxx.com send wednesday 31 august phone 23:13 xxxxx@xxxx.com subject appgallery]problem suggestion find difficult access google play store send honor phone,appgallery &amp; games / other requests,appgallery &amp; games ,suggestion,general,others
support.pt@aspiegel.com,send redeem reward send redeem reward,dear hugo brito recommend contact discord channel https://discord.gg/tkyzc5cagu computer desktop directly experience difficulty discord prefer handle case provide follow information investigation 1 huawei id discordant applicable question feel free reply email thread happy clarify concern kind regard customer support team marian aspiegel aspiegel company incorporate law ireland register office dublin ireland aspiegel huawei mobile service provider huawei honor device owner europe canada australia new zealand country xxxxx@xxxx.com send wednesday 31 august phone 21:53 xxxxx@xxxx.com subject send redeem reward good evening summer competition hold app gallery having download app collect point necessary redeem prize want ask expect delivery date attach photo respective award attentively hugo brito phone outlook android,"appgallery &amp; games /  information request (e.g. prize delivery timeframe, how to join campaign)",appgallery &amp; games ,suggestion,vip / offers / promotions,offers / vouchers / promotions
support.pt@aspiegel.com,send redeem reward send redeem reward,good morning computer outlook android xxxxx@xxxx.com send thursday september 1 phone 11:12:40 xxxxx@xxxx.com subject send redeem reward esteemed hugo brito recommend contact discord channel https://discord.gg/tkyzc5cagu computer desktop directly experience difficulty discord prefer handle case provide follow information investigation 1 huawei id discordant applicable question feel free reply email thread happy clarify concern kind regard customer support team marian aspiegel aspiegel company incorporate law ireland register office dublin ireland aspiegel huawei mobile service provider huawei honor device owner europe canada australia new zealand country xxxxx@xxxx.com send wednesday 31 august phone 21:53 xxxxx@xxxx.com subject send redeem reward good evening summer competition hold app gallery having download app collect point necessary redeem prize want ask expect delivery date attach photo respective award attentively hugo brito phone outlook android phone,"appgallery &amp; games /  information request (e.g. prize delivery timeframe, how to join campaign)",appgallery &amp; games ,suggestion,vip / offers / promotions,offers / vouchers / promotions
support.pt@aspiegel.com,send redeem reward send redeem reward,dear hugo brito thank return quick response case order assist need follow information 1 huawei id email thread happy answer question kind regard customer support team marian aspiegel aspiegel company incorporate law ireland register office dublin ireland aspiegel huawei mobile service provider huawei honor device owner europe canada australia new zealand country xxxxx@xxxx.com send thursday 01 september phone 12:16 xxxxx@xxxx.com subject send redeem reward good morning computer outlook android xxxxx@xxxx.com send thursday september 1 phone 11:12:40 xxxxx@xxxx.com subject send reward redeem esteemed hugo brito recommend contact discord channel https://discord.gg/tkyzc5cagu computer desktop directly experience difficulty discord prefer handle case provide follow information investigation 1 huawei id discordant applicable question feel free reply email thread happy clarify concern kind regard customer support team marian aspiegel aspiegel company incorporate law ireland register office dublin ireland aspiegel huawei mobile service provider huawei honor device owner europe canada australia new zealand country xxxxx@xxxx.com send wednesday 31 august phone 21:53 xxxxx@xxxx.com subject send redeem reward good evening summer competition hold app gallery having download app collect point necessary redeem prize want ask expect delivery date attach photo respective award attentively hugo brito phone outlook android phone,"appgallery &amp; games /  information request (e.g. prize delivery timeframe, how to join campaign)",appgallery &amp; games ,suggestion,vip / offers / promotions,offers / vouchers / promotions
support.pt@aspiegel.com,send redeem reward send redeem reward,huawei id hugo brito phone portugal app gallery service contest summer redeem time 90 point claim huawey mini speaker photo attach outlook android xxxxx@xxxx.com send thursday september 1 phone 11:47:04 xxxxx@xxxx.com subject send redeem reward estimate hugo brito thank feedback quick response case order assist need follow information 1 huawei id email thread happy answer question kind regard customer support team marian aspiegel aspiegel company incorporate law ireland register office dublin ireland aspiegel huawei mobile service provider huawei honor device owner europe canada australia new zealand country xxxxx@xxxx.com send thursday 01 september phone 12:16 xxxxx@xxxx.com subject send redeem reward good morning computer outlook android xxxxx@xxxx.com send thursday september 1 phone 11:12:40 xxxxx@xxxx.com subject send reward redeem esteemed hugo brito recommend contact discord channel https://discord.gg/tkyzc5cagu computer desktop directly experience difficulty discord prefer handle case provide follow information investigation 1 huawei id discordant applicable question feel free reply email thread happy clarify concern kind regard customer support team marian aspiegel aspiegel company incorporate law ireland register office dublin ireland aspiegel huawei mobile service provider huawei honor device owner europe canada australia new zealand country xxxxx@xxxx.com send wednesday 31 august phone 21:53 xxxxx@xxxx.com subject send redeem reward good evening summer competition hold app gallery having download app collect point necessary redeem prize want ask expect delivery date attach photo respective award attentively hugo brito phone outlook android phone phone,"appgallery &amp; games /  information request (e.g. prize delivery timeframe, how to join campaign)",appgallery &amp; games ,suggestion,vip / offers / promotions,offers / vouchers / promotions
support.de@aspiegel.com,update,dear customer thank contact hope email relate query app order help quickly possible send follow information huawei id app screenshot app technical problem have question feel free reply email thread happy help kind regard andrea customer service se company irish law register office loc loc se provider huawei mobile service huawei honor device owner loc loc loc loc country xxxxx@xxxx.com send wednesday august 31 phone 9:28 p.m. xxxxx@xxxx.com subject aw update thank quick reply want install app app instal click app open error message kind regard send phone original message xxxxx@xxxx.com date d aug 31st phone 21:11 xxxxx@xxxx.com subject update dear customer thank contact hope email relate request app gallery quick app follow step 1 huawei vision home screen apps > app gallery 2 enter app want download text input field 3 select appropriate app click ok information find follow guide quick app https://consumer.huawei.com/en/support/content/en-us*****(phone)/ app gallery https://consumer.huawei.com/en/support/content/en-us*****(phone)/ app region https://consumer.huawei.com/en/support/content/en-us*****(phone)/ question feel free use email thread reply happy help kind regard andrea customer service se company irish law register office loc loc se provider huawei mobile service huawei honor device owner loc loc loc loc country xxxxx@xxxx.com send wednesday 31 august phone 19:21 xxxxx@xxxx.com subject update good evening yesterday update huawei mate 20 lite long open app urgently need help chat help look forward quick response thank kind regard phone,appgallery &amp; games / other requests,appgallery &amp; games ,problem/fault,appgallery-use,ui abnormal in huawei appgallery
support.de@aspiegel.com,update,good evening unfortunately problem solve information need huawei d. xxxxx@xxxx.com app solitaire screenshot attach message stay load countless restart help pay app google will deactivate reinstall like thank support kind regard write thursday september 1st phone 1:32 p.m. dear customer thank contact hope email relate query app order help quickly possible send follow information huawei id app screenshot app technical problem have question feel free reply email thread happy help kind regard customer service se company irish law register office loc loc se provider huawei mobile service huawei honor device owner loc loc loc loc country xxxxx@xxxx.com send wednesday august 31 phone 9:28 p.m. xxxxx@xxxx.com subject aw update thank quick reply want install app app instal click app open error message kind regard send phone original message xxxxx@xxxx.com date d aug 31st phone 21:11 xxxxx@xxxx.com subject update dear customer thank contact hope email relate request app gallery quick app follow step 1 huawei vision home screen apps > app gallery 2 enter app want download text input field 3 select appropriate app click ok information find follow guide quick app https://consumer.huawei.com/en/support/content/en-us*****(phone)/ app gallery https://consumer.huawei.com/en/support/content/en-us*****(phone)/ app region https://consumer.huawei.com/en/support/content/en-us*****(phone)/ question feel free use email thread reply happy help kind regard customer service se company irish law register office loc loc se provider huawei mobile service huawei honor device owner loc loc loc loc country xxxxx@xxxx.com send wednesday 31 august phone 19:21 xxxxx@xxxx.com subject update good evening yesterday update huawei mate 20 lite long open app urgently need help chat help look forward quick response thank kind regard phone phone,appgallery &amp; games / other requests,appgallery &amp; games ,problem/fault,appgallery-use,ui abnormal in huawei appgallery
support.de@aspiegel.com,update,dear customer thank contact hope email relate inquiry app thank information apologize inconvenience thank patience know tense situation understand dissatisfaction offer help need internal team analyze case offer solution quickly possible receive response colleague help follow step provide internal team resolve issue good find suitable solution request kind regard customer service se company govern irish law register office loc loc se provider huawei mobile service huawei honor device owner loc loc loc loc country xxxxx@xxxx.com send thursday 01 september phone 21:06 xxxxx@xxxx.com subject update good evening unfortunately problem solve information need huawei d. xxxxx@xxxx.com app solitaire screenshot attach message stay load countless restart help pay app google will deactivate reinstall like thank support kind regard < xxxxx@xxxx.com > write thursday september 1st phone 1:32 p.m. dear customer thank contact hope email relate query app order help quickly possible send follow information huawei id app screenshot app technical problem have question feel free reply email thread happy help kind regard customer service se company irish law register office loc loc se provider huawei mobile service huawei honor device owner loc loc loc loc country xxxxx@xxxx.com send wednesday august 31 phone 9:28 p.m. xxxxx@xxxx.com subject aw update thank quick reply want install app app instal click app open error message kind regard send phone original message xxxxx@xxxx.com date d aug 31st phone 21:11 xxxxx@xxxx.com subject update dear customer thank contact hope email relate request app gallery quick app follow step 1 huawei vision home screen apps > app gallery 2 enter app want download text input field 3 select appropriate app click ok information find follow guide quick app https://consumer.huawei.com/en/support/content/en-us*****(phone)/ app gallery https://consumer.huawei.com/en/support/content/en-us*****(phone)/ app region https://consumer.huawei.com/en/support/content/en-us*****(phone)/ question feel free use email thread reply happy help kind regard customer service se company irish law register office loc loc se provider huawei mobile service huawei honor device owner loc loc loc loc country xxxxx@xxxx.com send wednesday 31 august phone 19:21 xxxxx@xxxx.com subject update good evening yesterday update huawei mate 20 lite long open app urgently need help chat help look forward quick response thank kind regard phone phone,appgallery &amp; games / other requests,appgallery &amp; games ,problem/fault,appgallery-use,ui abnormal in huawei appgallery
support.es1@aspiegel.com,huawei point,dear customer thank contact aspiegel hope go email refer concern huawei points step 1 check press accept button checkout process mean agree receive cashback huawei point step follow agree receive cashback huawei point 1 select item want purchase select payment method payment method reward user cashback orange phrase mention reward h. points 2 payment complete successful tap accept accept participation campaign 3 accept click accept cashback campaign 4 find huawei point follow step 1 3 phone setting > account center > huawei point > claim point find claimed tab step 2 press ok button send follow information 1 country service 2 date purchase(s 3 send follow 3 screenshot point page screenshot unclaimed point screenshot claim point screenshot expire point note find page phone setting > account center > huawei point > claim 4 indicate campaign participate 5 indicate huawei point receive question feel free reply email thread happy clarify doubt sincerely customer aspiegel se company incorporate law loc headquarters loc loc aspiegel se provider huawei mobile service owner huawei honor device loc loc loc loc country xxxxx@xxxx.com send wednesday 31 august phone 20:58 xxxxx@xxxx.com subject huawei point good afternoon purchase like past day check 20 huawei point promotion continue give option obtain appear claim attach purchase receipt thank greeting,appgallery &amp; games / huawei points missing,appgallery &amp; games ,problem/fault,coupon/gifts/points issues,can't use or acquire
support.es1@aspiegel.com,punto huawei,good morning problem previous purchase point button appear time see attach image option accept obtain step purchase think enter application unclaimed point appear follow attach image include point obtain absence purchase thank ps necessary ease contact phone greeting thu sept. 1 phone 9:32 write dear customer thank contact hope go email refer concern huawei points step 1 check press accept button checkout process mean agree receive cashback huawei point step follow agree receive cashback huawei point 1 select item want purchase select payment method payment method reward user cashback orange phrase mention reward h. points 2 payment complete successful tap accept accept participation campaign 3 accept click accept cashback campaign 4 find huawei point follow step 1 3 phone setting > account center > huawei point > claim point find claimed tab step 2 press ok button send follow information 1 country service 2 date purchase(s 3 send follow 3 screenshot point page screenshot unclaimed point screenshot claim point screenshot expire point note find page phone setting > account center > huawei point > claim 4 indicate campaign participate 5 indicate huawei point receive question feel free reply email thread happy clarify doubt sincerely ramón customer service support se company incorporate law loc headquarters loc loc per)se provider huawei mobile service owner huawei honor device loc loc loc loc country xxxxx@xxxx.com send wednesday 31 august phone 20:58 xxxxx@xxxx.com subject huawei point good afternoon purchase like past day check 20 huawei point promotion continue give option obtain appear claim attach purchase receipt thank greeting phone,appgallery &amp; games / huawei points missing,appgallery &amp; games ,problem/fault,coupon/gifts/points issues,can't use or acquire
support.es1@aspiegel.com,huawei point,dear customer thank contact aspiegel hope go email refer concern huawei points thank send 3 request screenshot order help problem send follow information 1 country service 2 date purchase(s 3 indicate campaign participate 4 indicate huawei point receive question feel free reply email thread happy clarify doubt sincerely customer aspiegel se company incorporate law loc headquarters loc loc aspiegel se provider huawei mobile service owner huawei honor device loc loc loc loc country xxxxx@xxxx.com send thursday 01 september phone 10:39 xxxxx@xxxx.com subject huawei point good morning problem previous purchase point button appear time see attach image option accept obtain step purchase think enter application unclaimed point appear follow attach image include point obtain absence purchase thank ps necessary ease contact phone greeting thu sept. 1 phone 9:32 < xxxxx@xxxx.com > write dear customer thank contact aspiegel hope go email refer concern huawei points step 1 check press accept button checkout process mean agree receive cashback huawei point step follow agree receive cashback huawei point 1 select item want purchase select payment method payment method reward user cashback orange phrase mention reward h. points 2 payment complete successful tap accept accept participation campaign 3 accept click accept cashback campaign 4 find huawei point follow step 1 3 phone setting > account center > huawei point > claim point find claimed tab step 2 press ok button send follow information 1 country service 2 date purchase(s 3 send follow 3 screenshot point page screenshot unclaimed point screenshot claim point screenshot expire point note find page phone setting > account center > huawei point > claim 4 indicate campaign participate 5 indicate huawei point receive question feel free reply email thread happy clarify doubt sincerely customer aspiegel se company incorporate law loc headquarters loc loc aspiegel se provider huawei mobile service owner huawei honor device loc loc loc loc country xxxxx@xxxx.com send wednesday 31 august phone 20:58 xxxxx@xxxx.com subject huawei point good afternoon purchase like past day check 20 huawei point promotion continue give option obtain appear claim attach purchase receipt thank greeting phone,appgallery &amp; games / huawei points missing,appgallery &amp; games ,problem/fault,coupon/gifts/points issues,can't use or acquire
support.es1@aspiegel.com,punto huawei,"good afternoon answer request question 1- loc 2 08/31/*****(phone image attach 3- 20 purchase image attach 4- 20 19.99 calculate correctly 3,998 thank greeting thu sept. 1 phone 11:13 write dear customer thank contact aspiegel hope go email refer concern huawei points thank send 3 request screenshot order help problem send follow information 1 country service 2 date purchase(s 3 indicate campaign participate 4 indicate huawei point receive question feel free reply email thread happy clarify doubt sincerely customer aspiegel se company incorporate law loc headquarters loc loc aspiegel se provider huawei mobile service owner huawei honor device loc loc loc loc country xxxxx@xxxx.com send thursday 01 september phone 10:39 xxxxx@xxxx.com subject huawei point good morning problem previous purchase point button appear time see attach image option accept obtain step purchase think enter application unclaimed point appear follow attach image include point obtain absence purchase thank ps necessary ease contact phone greeting thu sept. 1 phone 9:32 < xxxxx@xxxx.com > write dear customer thank contact aspiegel hope go email refer concern huawei points step 1 check press accept button checkout process mean agree receive cashback huawei point step follow agree receive cashback huawei point 1 select item want purchase select payment method payment method reward user cashback orange phrase mention reward h. points 2 payment complete successful tap accept accept participation campaign 3 accept click accept cashback campaign 4 find huawei point follow step 1 3 phone setting > account center > huawei point > claim point find claimed tab step 2 press ok button send follow information 1 country service 2 date purchase(s 3 send follow 3 screenshot point page screenshot unclaimed point screenshot claim point screenshot expire point note find page phone setting > account center > huawei point > claim 4 indicate campaign participate 5 indicate huawei point receive question feel free reply email thread happy clarify doubt sincerely customer aspiegel se company incorporate law loc headquarters loc loc aspiegel se provider huawei mobile service owner huawei honor device loc loc loc loc country xxxxx@xxxx.com send wednesday 31 august phone 20:58 xxxxx@xxxx.com subject huawei point good afternoon purchase like past day check 20 huawei point promotion continue give option obtain appear claim attach purchase receipt thank greeting phone phone",appgallery &amp; games / huawei points missing,appgallery &amp; games ,problem/fault,coupon/gifts/points issues,can't use or acquire
support.es1@aspiegel.com,huawei point,"dear customer thank information provide le informamos que su solicitud está siendo procesada por nuestro departamento especializado soon update let know question feel free reply email thread happy clarify doubt sincerely customer aspiegel se company incorporate law loc headquarters loc loc aspiegel se provider huawei mobile service owner huawei honor device loc loc loc loc country xxxxx@xxxx.com send thursday 01 september phone 13:48 xxxxx@xxxx.com subject huawei point good afternoon answer request question 1- loc 2 31/08/*****(phone image attach 3- 20 purchase image attach 4- 20 19.99 calculate correctly 3,998 thank greeting thu sept. 1 phone 11:13 < xxxxx@xxxx.com > write dear customer thank contact aspiegel hope go email refer concern huawei points thank send 3 request screenshot order help problem send follow information 1 country service 2 date purchase(s 3 indicate campaign participate 4 indicate huawei point receive question feel free reply email thread happy clarify doubt sincerely customer aspiegel se company incorporate law loc headquarters loc loc aspiegel se provider huawei mobile service owner huawei honor device loc loc loc loc country xxxxx@xxxx.com send thursday 01 september phone 10:39 xxxxx@xxxx.com subject huawei point good morning problem previous purchase point button appear time see attach image option accept obtain step purchase think enter application unclaimed point appear follow attach image include point obtain absence purchase thank ps necessary ease contact phone greeting thu sept. 1 phone 9:32 < xxxxx@xxxx.com > write dear customer thank contact aspiegel hope go email refer concern huawei points step 1 check press accept button checkout process mean agree receive cashback huawei point step follow agree receive cashback huawei point 1 select item want purchase select payment method payment method reward user cashback orange phrase mention reward h. points 2 payment complete successful tap accept accept participation campaign 3 accept click accept cashback campaign 4 find huawei point follow step 1 3 phone setting > account center > huawei point > claim point find claimed tab step 2 press ok button send follow information 1 country service 2 date purchase(s 3 send follow 3 screenshot point page screenshot unclaimed point screenshot claim point screenshot expire point note find page phone setting > account center > huawei point > claim 4 indicate campaign participate 5 indicate huawei point receive question feel free reply email thread happy clarify doubt sincerely customer aspiegel se company incorporate law loc headquarters loc loc aspiegel se provider huawei mobile service owner huawei honor device loc loc loc loc",appgallery &amp; games / huawei points missing,appgallery &amp; games ,problem/fault,coupon/gifts/points issues,can't use or acquire
support.eu@aspiegel.com,refund request,screenshot_*****(phone)_*****(phone)_com.huawei.hwid.jpg svid_*****(phone)_*****(phone)_1.mp4 d 31 aug phone 20:39 write dear customer thank contact person hope good assist email refund request order good solution provide follow information screenshot record video charge huawei d app gallery > hms core > open screenshot question feel free reply email thread happy walk doubt sincerely alexandru person customer support team person se company incorporate law ireland headquarters dublin ireland person se provider huawei mobile service huawei honor device owner loc canada australia new zealand country xxxxx@xxxx.com send wednesday 31 august phone 20:26 xxxxx@xxxx.com subject refund request game allow illegal party transaction fair player purchase legal legit platform recharge demand partial refund app kingdom guard phone,appgallery &amp; games / refund request: accidental purchase  ( item),appgallery &amp; games ,problem/fault,third party apps,refund
support.eu@aspiegel.com,refund request,dear customer thank reply unfortunately internal tool allow access folder google drive send format provide huawei d. thank understanding cooperation sincerely alexandru person customer support team person se company incorporate law ireland headquarters dublin ireland person se provider huawei mobile service huawei honor device owner loc canada australia new zealand country xxxxx@xxxx.com send thursday 01 september phone 08:37 xxxxx@xxxx.com subject refund request screenshot_*****(phone)_*****(phone)_com.huawei.hwid.jpg svid_*****(phone)_*****(phone)_1.mp4 d 31 aug phone 20:39 < xxxxx@xxxx.com > write dear customer thank contact person hope good assist email refund request order good solution provide follow information screenshot record video charge huawei d app gallery > hms core > open screenshot question feel free reply email thread happy walk doubt sincerely alexandru person customer support team person se company incorporate law ireland headquarters dublin ireland person se provider huawei mobile service huawei honor device owner loc canada australia new zealand country xxxxx@xxxx.com send wednesday 31 august phone 20:26 xxxxx@xxxx.com subject refund request game allow illegal party transaction fair player purchase legal legit platform recharge demand partial refund app kingdom guard phone,appgallery &amp; games / refund request: accidental purchase  ( item),appgallery &amp; games ,problem/fault,third party apps,refund
support.eu@aspiegel.com,refund request,huawei d + phone video charge https://youtube.com/shorts/nppd0mzfgpg?feature=share thu 1 sept phone 13:15 write dear customer thank reply unfortunately internal tool allow access folder google drive send format provide huawei d. thank understanding cooperation sincerely alexandru person customer support team person se company incorporate law ireland headquarters dublin ireland person se provider huawei mobile service huawei honor device owner loc canada australia new zealand country xxxxx@xxxx.com send thursday 01 september phone 08:37 xxxxx@xxxx.com subject refund request screenshot_*****(phone)_*****(phone)_com.huawei.hwid.jpg svid_*****(phone)_*****(phone)_1.mp4 d 31 aug phone 20:39 < xxxxx@xxxx.com > write dear customer thank contact person hope good assist email refund request order good solution provide follow information screenshot record video charge huawei d app gallery > hms core > open screenshot question feel free reply email thread happy walk doubt sincerely alexandru person customer support team person se company incorporate law ireland headquarters dublin ireland person se provider huawei mobile service huawei honor device owner loc canada australia new zealand country xxxxx@xxxx.com send wednesday 31 august phone 20:26 xxxxx@xxxx.com subject refund request game allow illegal party transaction fair player purchase legal legit platform recharge demand partial refund app kingdom guard phone phone,appgallery &amp; games / refund request: accidental purchase  ( item),appgallery &amp; games ,problem/fault,third party apps,refund
